holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,count,hour,day,weekday,month,year,season_name_spring,season_name_summer,season_name_winter,weather_desc_heavy_rain_storm,weather_desc_light_snow_rain,weather_desc_mist
0,0,9.84,14.395,81,0.0,3,13,16,0,1,5,1,2011,True,False,False,False,False,False
0,0,9.02,13.635,80,0.0,8,32,40,1,1,5,1,2011,True,False,False,False,False,False
0,0,9.02,13.635,80,0.0,5,27,32,2,1,5,1,2011,True,False,False,False,False,False
0,0,9.84,14.395,75,0.0,3,10,13,3,1,5,1,2011,True,False,False,False,False,False
0,0,9.84,14.395,75,0.0,0,1,1,4,1,5,1,2011,True,False,False,False,False,False
0,0,9.84,12.88,75,6.0032,0,1,1,5,1,5,1,2011,True,False,False,False,False,True
0,0,9.02,13.635,80,0.0,2,0,2,6,1,5,1,2011,True,False,False,False,False,False
0,0,8.2,12.88,86,0.0,1,2,3,7,1,5,1,2011,True,False,False,False,False,False
0,0,9.84,14.395,75,0.0,1,7,8,8,1,5,1,2011,True,False,False,False,False,False
0,0,13.12,17.425,76,0.0,8,6,14,9,1,5,1,2011,True,False,False,False,False,False
0,0,15.58,19.695,76,16.9979,12,24,36,10,1,5,1,2011,True,False,False,False,False,False
0,0,14.76,16.665,81,19.0012,26,30,56,11,1,5,1,2011,True,False,False,False,False,False
0,0,17.22,21.21,77,19.0012,29,55,84,12,1,5,1,2011,True,False,False,False,False,False
0,0,18.86,22.725,72,19.9995,47,47,94,13,1,5,1,2011,True,False,False,False,False,True
0,0,18.86,22.725,72,19.0012,35,71,106,14,1,5,1,2011,True,False,False,False,False,True
0,0,18.04,21.97,77,19.9995,40,70,110,15,1,5,1,2011,True,False,False,False,False,True
0,0,17.22,21.21,82,19.9995,41,52,93,16,1,5,1,2011,True,False,False,False,False,True
0,0,18.04,21.97,82,19.0012,15,52,67,17,1,5,1,2011,True,False,False,False,False,True
0,0,17.22,21.21,88,16.9979,9,26,35,18,1,5,1,2011,True,False,False,False,True,False
0,0,17.22,21.21,88,16.9979,6,31,37,19,1,5,1,2011,True,False,False,False,True,False
0,0,16.4,20.455,87,16.9979,11,25,36,20,1,5,1,2011,True,False,False,False,False,True
0,0,16.4,20.455,87,12.998,3,31,34,21,1,5,1,2011,True,False,False,False,False,True
0,0,16.4,20.455,94,15.0013,11,17,28,22,1,5,1,2011,True,False,False,False,False,True
0,0,18.86,22.725,88,19.9995,15,24,39,23,1,5,1,2011,True,False,False,False,False,True
0,0,18.86,22.725,88,19.9995,4,13,17,0,2,6,1,2011,True,False,False,False,False,True
0,0,18.04,21.97,94,16.9979,1,16,17,1,2,6,1,2011,True,False,False,False,False,True
0,0,17.22,21.21,100,19.0012,1,8,9,2,2,6,1,2011,True,False,False,False,False,True
0,0,18.86,22.725,94,12.998,2,4,6,3,2,6,1,2011,True,False,False,False,False,True
0,0,18.86,22.725,94,12.998,2,1,3,4,2,6,1,2011,True,False,False,False,False,True
0,0,17.22,21.21,77,19.9995,0,2,2,6,2,6,1,2011,True,False,False,False,True,False
0,0,16.4,20.455,76,12.998,0,1,1,7,2,6,1,2011,True,False,False,False,False,True
0,0,16.4,20.455,71,15.0013,0,8,8,8,2,6,1,2011,True,False,False,False,True,False
0,0,15.58,19.695,76,15.0013,1,19,20,9,2,6,1,2011,True,False,False,False,False,True
0,0,14.76,17.425,81,15.0013,7,46,53,10,2,6,1,2011,True,False,False,False,False,True
0,0,14.76,16.665,71,16.9979,16,54,70,11,2,6,1,2011,True,False,False,False,False,True
0,0,14.76,16.665,66,19.9995,20,73,93,12,2,6,1,2011,True,False,False,False,False,True
0,0,14.76,17.425,66,8.9981,11,64,75,13,2,6,1,2011,True,False,False,False,False,True
0,0,14.76,17.425,76,12.998,4,55,59,14,2,6,1,2011,True,False,False,False,True,False
0,0,13.94,16.665,81,11.0014,19,55,74,15,2,6,1,2011,True,False,False,False,True,False
